story_id,culture,kmeans_cluster,hier_cluster,n_nodes,n_edges,n_self_loops,n_distinct_relations,avg_out_degree,max_out_degree,density,n_weakly_connected_components
1,Asian,1,3,8,14,9,14,1.75,5,0.1607142857142857,4
2,Asian,1,3,9,14,14,14,1.5555555555555556,5,0.125,9
3,African_Diaspora,1,3,10,14,12,14,1.4,7,0.1111111111111111,8
4,Asian,1,3,7,14,14,14,2.0,6,0.1666666666666666,7
5,Asian,1,3,6,14,12,14,2.333333333333333,7,0.2333333333333333,5
6,African_Diaspora,0,1,2,13,8,13,6.5,7,2.0,1
7,Asian,1,3,6,14,14,14,2.333333333333333,6,0.2,6
8,Asian,1,3,9,13,8,13,1.4444444444444444,5,0.1388888888888889,5
9,African_Diaspora,1,3,13,13,7,13,1.0,2,0.0705128205128205,7
10,European,2,2,7,10,8,10,1.4285714285714286,5,0.1666666666666666,5
11,African_Diaspora,1,3,7,13,9,13,1.8571428571428568,4,0.1904761904761904,3
12,European,1,3,6,13,11,13,2.1666666666666665,5,0.2666666666666666,4
13,African_Diaspora,1,3,4,14,9,14,3.5,6,0.5,1
14,African_Diaspora,0,1,2,13,13,13,6.5,9,1.0,2
15,European,1,3,9,14,4,13,1.5555555555555556,6,0.1388888888888889,1
16,Asian,1,3,11,14,6,12,1.2727272727272727,8,0.1,3
17,European,1,3,5,14,7,14,2.8,6,0.4,2
18,African_Diaspora,0,1,3,14,10,14,4.666666666666667,8,1.0,1
19,Asian,1,3,7,14,13,9,2.0,7,0.1666666666666666,6
20,European,1,3,9,14,9,14,1.5555555555555556,9,0.1111111111111111,5
21,Asian,1,3,5,14,9,14,2.8,9,0.3,2
22,European,1,3,4,14,14,14,3.5,10,0.3333333333333333,4
23,European,1,3,5,14,9,14,2.8,5,0.4,2
24,Asian,1,3,9,14,11,14,1.5555555555555556,4,0.1388888888888889,7
25,European,1,3,8,14,12,14,1.75,6,0.1428571428571428,6
26,African_Diaspora,1,3,8,13,10,13,1.625,3,0.1964285714285714,6
27,African_Diaspora,1,3,8,13,7,13,1.625,8,0.1428571428571428,2
28,African_Diaspora,2,2,4,10,9,10,2.5,6,0.4166666666666667,3
29,European,1,3,9,13,8,13,1.4444444444444444,5,0.125,5
30,European,0,1,3,12,9,12,4.0,9,0.6666666666666666,1
