story_id,orig_culture,target_culture,norm_ged,relation_overlap,subject_role_alignment,object_role_alignment
1,Asian,African_Diaspora,0.23529411764705882,0.3898305084745763,0.2857142857142857,1.0
1,Asian,European,0.17647058823529413,0.22033898305084745,0.1,0.0
2,Asian,African_Diaspora,0.1,0.12307692307692308,0.5,
2,Asian,European,0.3076923076923077,0.19718309859154928,0.7142857142857143,
3,African_Diaspora,Asian,0.047619047619047616,0.15254237288135594,0.5,0.0
3,African_Diaspora,European,0.15,0.12987012987012986,0.42857142857142855,
4,Asian,African_Diaspora,0.3,0.058823529411764705,0.6428571428571429,
4,Asian,European,0.06666666666666667,0.031746031746031744,0.5833333333333334,
5,Asian,African_Diaspora,0.48,0.2328767123287671,0.5,
5,Asian,European,0.5517241379310345,0.08,0.5714285714285714,0.5
6,African_Diaspora,Asian,0.25,0.015873015873015872,0.46153846153846156,1.0
6,African_Diaspora,European,0.5384615384615384,0.1076923076923077,0.38461538461538464,0.0
7,Asian,African_Diaspora,0.42857142857142855,0.2916666666666667,0.5384615384615384,
7,Asian,European,0.25,0.13432835820895522,0.2857142857142857,
8,Asian,African_Diaspora,0.10526315789473684,0.12605042016806722,0.46153846153846156,0.3333333333333333
8,Asian,European,0.15789473684210525,0.08571428571428572,0.4166666666666667,0.0
9,African_Diaspora,Asian,0.25,0.08928571428571429,0.5,0.0
9,African_Diaspora,European,0.375,0.013157894736842105,0.46153846153846156,0.5
10,European,African_Diaspora,0.2222222222222222,0.12698412698412698,0.7,1.0
10,European,Asian,0.3,0.18181818181818182,0.4,
11,African_Diaspora,Asian,0.13333333333333333,0.10869565217391304,0.3,0.0
11,African_Diaspora,European,0.16666666666666666,0.26,0.46153846153846156,0.0
12,European,African_Diaspora,0.2222222222222222,0.25862068965517243,0.38461538461538464,0.0
12,European,Asian,0.0,0.05263157894736842,0.4,
13,African_Diaspora,Asian,0.4666666666666667,0.05084745762711865,0.5,1.0
13,African_Diaspora,European,0.375,0.1896551724137931,0.21428571428571427,0.0
14,African_Diaspora,Asian,0.7142857142857143,0.14150943396226415,0.6153846153846154,
14,African_Diaspora,European,0.6666666666666666,0.16216216216216217,0.6923076923076923,
15,European,African_Diaspora,0.3157894736842105,0.16981132075471697,0.36363636363636365,0.4
15,European,Asian,0.19047619047619047,0.1320754716981132,0.5,0.6666666666666666
16,Asian,African_Diaspora,0.5909090909090909,0.23076923076923078,0.2857142857142857,0.0
16,Asian,European,0.5,0.1702127659574468,0.42857142857142855,1.0
17,European,African_Diaspora,0.3076923076923077,0.23076923076923078,0.35714285714285715,1.0
17,European,Asian,0.38461538461538464,0.14285714285714285,0.5,0.5
18,African_Diaspora,Asian,0.8125,0.014925373134328358,0.21428571428571427,0.0
18,African_Diaspora,European,0.5454545454545454,0.10344827586206896,0.36363636363636365,0.0
19,Asian,African_Diaspora,0.14285714285714285,0.08771929824561403,0.5,
19,Asian,European,0.14285714285714285,0.034482758620689655,0.46153846153846156,
20,European,African_Diaspora,0.05555555555555555,0.10344827586206896,0.3,1.0
20,European,Asian,0.23529411764705882,0.10989010989010989,0.42857142857142855,1.0
21,Asian,African_Diaspora,0.35294117647058826,0.031746031746031744,0.3,1.0
21,Asian,European,0.09090909090909091,0.14736842105263157,0.42857142857142855,
22,European,African_Diaspora,0.42857142857142855,0.09090909090909091,0.5714285714285714,
22,European,Asian,0.3333333333333333,0.05825242718446602,0.35714285714285715,
23,European,African_Diaspora,0.26666666666666666,0.19642857142857142,0.2857142857142857,0.3333333333333333
23,European,Asian,0.38461538461538464,0.07462686567164178,0.2857142857142857,
24,Asian,African_Diaspora,0.15789473684210525,0.16279069767441862,0.2857142857142857,1.0
24,Asian,European,0.20833333333333334,0.16666666666666666,0.5,1.0
25,European,African_Diaspora,0.375,0.16071428571428573,0.5714285714285714,
25,European,Asian,0.125,0.15476190476190477,0.42857142857142855,1.0
26,African_Diaspora,Asian,0.3157894736842105,0.1896551724137931,0.5384615384615384,0.5
26,African_Diaspora,European,0.4583333333333333,0.20408163265306123,0.38461538461538464,0.0
27,African_Diaspora,Asian,0.1875,0.19607843137254902,0.4166666666666667,0.5
27,African_Diaspora,European,0.5625,0.12903225806451613,0.38461538461538464,0.0
28,African_Diaspora,Asian,0.0,0.043478260869565216,0.5,0.0
28,African_Diaspora,European,0.47058823529411764,0.15714285714285714,0.6,
29,European,African_Diaspora,0.2777777777777778,0.05555555555555555,0.7692307692307693,1.0
29,European,Asian,0.2,0.08,0.38461538461538464,
30,European,African_Diaspora,0.4166666666666667,0.05172413793103448,0.5,
30,European,Asian,0.6428571428571429,0.21428571428571427,0.5,
