n_nodes,n_edges,n_self_loops,n_distinct_relations,avg_out_degree,max_out_degree,density,n_weakly_connected_components,story_id,version,culture
8,14,9,14,1.75,5,0.16071428571428573,4,1,orig,Asian
6,14,12,14,2.3333333333333335,5,0.23333333333333334,4,1,to_African_Diaspora,African_Diaspora
7,10,9,10,1.4285714285714286,3,0.16666666666666666,6,1,to_European,European
9,14,14,14,1.5555555555555556,5,0.125,9,2,orig,Asian
10,14,8,14,1.4,5,0.1111111111111111,5,2,to_African_Diaspora,African_Diaspora
14,14,6,14,1.0,5,0.06593406593406594,7,2,to_European,European
10,14,12,14,1.4,7,0.1111111111111111,8,3,orig,African_Diaspora
10,14,10,14,1.4,5,0.12222222222222222,7,3,to_Asian,Asian
9,14,11,14,1.5555555555555556,7,0.1388888888888889,6,3,to_European,European
7,14,14,14,2.0,6,0.16666666666666666,7,4,orig,Asian
11,14,12,14,1.2727272727272727,6,0.08181818181818182,9,4,to_African_Diaspora,African_Diaspora
8,12,10,12,1.5,5,0.125,6,4,to_European,European
6,14,12,14,2.3333333333333335,7,0.23333333333333334,5,5,orig,Asian
13,14,10,14,1.0769230769230769,4,0.07692307692307693,9,5,to_African_Diaspora,African_Diaspora
16,14,5,14,0.875,3,0.05416666666666667,7,5,to_European,European
2,13,8,13,6.5,7,2.0,1,6,orig,African_Diaspora
3,14,9,14,4.666666666666667,7,0.8333333333333334,2,6,to_Asian,Asian
5,14,8,14,2.8,6,0.4,2,6,to_European,European
6,14,14,14,2.3333333333333335,6,0.2,6,7,orig,Asian
10,13,7,13,1.3,5,0.12222222222222222,5,7,to_African_Diaspora,African_Diaspora
7,14,11,14,2.0,4,0.21428571428571427,4,7,to_European,European
9,13,8,13,1.4444444444444444,5,0.1388888888888889,5,8,orig,Asian
8,13,6,13,1.625,4,0.16071428571428573,4,8,to_African_Diaspora,African_Diaspora
8,12,8,12,1.5,4,0.14285714285714285,6,8,to_European,European
13,13,7,13,1.0,2,0.07051282051282051,7,9,orig,African_Diaspora
9,10,8,10,1.1111111111111112,2,0.125,7,9,to_Asian,Asian
8,14,11,14,1.75,5,0.125,5,9,to_European,European
7,10,8,10,1.4285714285714286,5,0.16666666666666666,5,10,orig,European
8,14,8,14,1.75,8,0.17857142857142858,2,10,to_African_Diaspora,African_Diaspora
9,20,14,19,2.2222222222222223,8,0.1527777777777778,5,10,to_Asian,Asian
7,13,9,13,1.8571428571428572,4,0.19047619047619047,3,11,orig,African_Diaspora
8,10,6,10,1.25,3,0.125,4,11,to_Asian,Asian
8,14,7,14,1.75,4,0.17857142857142858,4,11,to_European,European
6,13,11,13,2.1666666666666665,5,0.26666666666666666,4,12,orig,European
8,14,11,14,1.75,3,0.17857142857142858,6,12,to_African_Diaspora,African_Diaspora
6,10,6,9,1.6666666666666667,4,0.26666666666666666,2,12,to_Asian,Asian
4,14,9,14,3.5,6,0.5,1,13,orig,African_Diaspora
8,14,9,14,1.75,7,0.125,4,13,to_Asian,Asian
7,14,7,14,2.0,4,0.21428571428571427,4,13,to_European,European
2,13,13,13,6.5,9,1.0,2,14,orig,African_Diaspora
